,animal_id_outcome,outcome_type,age_upon_outcome_years,animal_type,breed,Mix,fotos,bins
11070,A674236,Euthanasia,10.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
11279,A674511,Euthanasia,2.0,Dog,husky,False,https://dog.ceo/api/breed/Siberian Husky/images/random,0-1
11344,A674601,Euthanasia,0.1643835616438356,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
12237,A675935,Euthanasia,5.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,2-5
12349,A676127,Euthanasia,0.03835616438356165,Dog,chihuahua,False,https://dog.ceo/api/breed/Chihuahua Shorthair/images/random,0-1
12436,A676231,Euthanasia,4.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
12671,A676571,Euthanasia,3.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
12758,A676680,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
13547,A677786,Euthanasia,3.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,2-5
13642,A677912,Euthanasia,16.0,Dog,doberman,True,https://dog.ceo/api/breed/Doberman Pinsch Mix/images/random,10-19
13887,A678218,Euthanasia,11.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,10-19
14061,A678428,Euthanasia,1.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
14905,A679459,Euthanasia,3.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,2-5
15681,A680367,Euthanasia,9.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,6-10
16684,A681698,Euthanasia,0.0821917808219178,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,0-1
17562,A682883,Euthanasia,12.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
18414,A683930,Euthanasia,0.410958904109589,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,0-1
18741,A684400,Euthanasia,9.0,Dog,doberman,False,https://dog.ceo/api/breed/Doberman Pinsch/images/random,6-10
19035,A684752,Euthanasia,2.0,Dog,germanshepherd,False,https://dog.ceo/api/breed/German Shepherd/images/random,0-1
19131,A684875,Euthanasia,0.3287671232876712,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
19147,A684913,Euthanasia,1.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
19381,A685183,Euthanasia,8.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,6-10
19593,A685475,Euthanasia,8.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,6-10
20505,A686683,Euthanasia,12.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
20759,A687025,Euthanasia,10.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
21292,A687699,Euthanasia,1.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,0-1
21753,A688287,Euthanasia,5.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,2-5
22157,A688785,Euthanasia,2.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
22406,A689099,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
22929,A689789,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,0-1
23206,A690146,Euthanasia,4.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,2-5
23279,A690235,Euthanasia,8.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,6-10
23427,A690423,Euthanasia,4.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,2-5
24074,A691330,Euthanasia,3.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
24705,A692191,Euthanasia,8.0,Dog,beagle,True,https://dog.ceo/api/breed/Beagle Mix/images/random,6-10
24837,A692369,Euthanasia,1.0,Dog,dane,True,https://dog.ceo/api/breed/Great Dane Mix/images/random,0-1
24895,A692441,Euthanasia,0.5753424657534246,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,0-1
