Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2014.04.22,2014,Unprovoked,USA,N,3.5
2014.04.15,2014,Unprovoked,USA,N,3.0
2014.04.12.R,2014,Boat,SOUTH AFRICA,N,8.0
2014.04.12,2014,Provoked,SOUTH AFRICA,N,3.5503003003003
2014.04.04.b,2014,Unprovoked,USA,N,3.5
2014.04.04.a,2014,Unprovoked,USA,N,3.5
2014.04.03,2014,Unprovoked,AUSTRALIA,Y,2.5
2014.03.29,2014,0,AUSTRALIA,Y,3.0
2014.03.22.b,2014,Unprovoked,SOUTH AFRICA,Y,2.5
2014.03.22.a,2014,Unprovoked,USA,N,4.5
2014.03.21,2014,Unprovoked,USA,N,4.0
2014.03.18.c,2014,Unprovoked,NEW CALEDONIA,N,4.0
2014.03.18.b,2014,Unprovoked,AUSTRALIA,N,3.3003003003003
2014.03.13,2014,0,CAYMAN ISLANDS,N,6.75
2014.03.18,2014,0,AUSTRALIA,N,2.25
2014.03.12,2014,Unprovoked,AUSTRALIA,N,3.5
2014.03.02,2014,Unprovoked,USA,N,3.5
2014.02.20,2014,Unprovoked,FRENCH POLYNESIA,N,3.0
2014.02.17,2014,Boat,PAPUA NEW GUINEA,N,5.8003003003003
2014.02.08,2014,Unprovoked,AUSTRALIA,Y,3.0
2014.02.07.b,2014,Provoked,TRINIDAD & TOBAGO,N,6.0
2014.02.07,2014,Unprovoked,NEW ZEALAND,N,2.5
2014.01.26,2014,Provoked,AUSTRALIA,N,4.75
2014.01.25,2014,Unprovoked,NEW ZEALAND,N,3.5
2014.01.04,2014,Sea Disaster,JAPAN,N,4.5
2014.00.00,2014,Boat,NEW ZEALAND,N,7.20045045045045
2013.12.25,2013,Unprovoked,NEW CALEDONIA,N,3.0
2013.12.16,2013,Unprovoked,SOUTH AFRICA,N,2.5
2013.12.13,2013,Unprovoked,KIRIBATI,N,5.25
2013.12.11,2013,Unprovoked,USA,N,3.0
2013.12.10,2013,Unprovoked,USA,N,2.5
2013.12.05,2013,Unprovoked,AUSTRALIA,N,3.0
2013.12.02,2013,Unprovoked,USA,Y,3.0
2013.11.30,2013,Unprovoked,AUSTRALIA,Y,2.5
