,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5285,1903,AUSTRALIA,New South Wales,,M,,Y
5286,1903,CRETE,,Sponge diving,M,,Y
5287,1903,USA,Hawaii,Fishing,M,,Y
5288,1902,NICARAGUA,Rio San Juan,Swimming,M,30,Y
5289,1902,AUSTRALIA,New South Wales,Swimming,M,17,Y
5290,1902,USA,Texas,Fishing,M,,N
5291,1902,ITALY,Calabria,Swimming,M,,Y
5292,1902,CROATIA,Istria County,Fishing,M,,N
5293,1902,USA,Hawaii,Catching crabs,M,,Y
5294,1902,ITALY,Liguria,Fishing,M,,N
5295,1902,USA,New Jersey,Swimming,M,,N
5296,1902,PHILIPPINES,Zamboanga del Sur Province,,M,,N
5297,1902,EGYPT,Mediterranean Sea,Sponge diving,M,,N
5298,1902,SOUTH AFRICA,Eastern Cape Province,Swimming,M,,Y
5299,1902,NEW ZEALAND,North Island,Standing on ship deck,M,,N
5300,1902,AUSTRALIA,New South Wales,Dangling feet in the water,M,,Y
5301,1902,SOUTH AFRICA,KwaZulu-Natal,,M,,Y
5302,1902,AUSTRALIA,Queensland,Swimming,M,16,N
5303,1901,AUSTRALIA,Queensland,Bathing,M,10,N
5304,1901,PHILIPPINES,Zamboanga del Sur Province,Taking catch from a fish weir in which the shark was snared,M,,N
5305,1901,CYPRUS,Southern Cyprus,Swimming,M,Teen,Y
5306,1901,SOUTH AFRICA,Western Cape Province,Swimming,M,29,Y
5309,1901,PHILIPPINES,Western Viscayas,Swimming,M,,N
5310,1901,AUSTRALIA,Queensland,Bathing,M,,Y
5311,1901,USA,Florida,Bathing,M,,N
5312,1900,AUSTRALIA,New South Wales,Bathing,M,,Y
5313,1900,SOUTH AFRICA,Western Cape Province,Swimming,M,30,Y
5314,1900,SOUTH AFRICA,Western Cape Province,Swimming,M,,Y
5315,1900,AUSTRALIA,Queensland,Swimming,M,,N
5317,1900,USA,Hawaii,Floating,M,,N
5318,1900,USA,North Carolina,Bathing,M,,N
5319,1900,CROATIA, Primorje-Gorski Kotar County,Swimming,M,,Y
5320,1900,USA,Hawaii,Hunting seashells,M,,Y
5321,1900,USA,Connecticut, ,,,N
5322,1900,AUSTRALIA,New South Wales,"Standing, gathering oysters",M,,N
5323,1900,USA,Hawaii,,M,,N
5324,1900,SOUTH AFRICA,Eastern Cape Province,Swimming,M,,N
5325,1899,AUSTRALIA,Queensland,Fell into the water,M,,N
5326,1899,PHILIPPINES,Mindoro Occidental,Sea Disaster,,,Y
5327,1899,LIBYA,Mediterranean Sea,Diving,M,,N
5328,1899,LIBYA,Mediterranean Sea,Sponge diving,M,,Y
5329,1899,MEXICO,Tamaulipas,Swimming,M,,Y
5330,1899,USA,California,Hunting sharks,M,,Y
5331,1899,USA,Florida,Swimming,M,15,Y
5332,1899,EGYPT ,Mediterranean Sea,Floating on his back,M,9,N
5333,1899,EGYPT ,Mediterranean Sea,Bathing,M,19,N
5334,1899,EGYPT,Mediterranean Sea,Bathing,M,13,N
5335,1899,BAHAMAS,,Fell overboard ,M,,Y
5336,1899,ITALY,Calabria,Fishing,M,,N
5337,1899,NEW ZEALAND,North Island,Attempting to land a boat from the Hinemoa,M,,Y
5338,1899,PHILIPPINES,Negros ,Swimming,M,,Y
5339,1899,ITALY,Imperia Province,Bathing,M,,Y
5340,1899,AUSTRALIA,New South Wales,Bathing,F,13,Y
5341,1899,SOUTH AFRICA,KwaZulu-Natal,Dangling feet in the water,M,,N
5342,1899,USA,Florida,Rowing,M,,N
5343,1899,USA,Florida,Hunting crayfish,M,,N
5344,1898,AUSTRALIA,Queensland,Fell oveboard,M,,Y
5345,1898,USA,Hawaii,Jumped overboard,M,,Y
