,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
1039,2008.05.01,01-May-08,2008,Provoked,SOUTH AFRICA,,,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.01-fisherman.pdf,4954
1040,2008.04.28.b,28-Apr-08,2008,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,Y,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.b-Ruiz.pdf,4953
1041,2008.04.28.a,28-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,11h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.a-Alger.pdf,4952
1042,2008.04.27,27-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.27-Tobin.pdf,4951
1043,2008.04.26.b,26-Apr-08,2008,Unprovoked,NEW CALEDONIA,North Province,Poindimié,Swimming,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.b-Vilain.pdf,4950
1044,2008.04.26.a,26-Apr-08,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,09h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.a-Pattison.pdf,4949
1045,2008.04.25,25-Apr-08,2008,Unprovoked,USA,California,"Solana Beach, San Diego County",Swimming,Y,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.25-DaveMartin.pdf,4948
1046,2008.04.20.b,20-Apr-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.b-Girl.pdf,4947
1047,2008.04.20.a,20-Apr-08,2008,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Unknown,UNKNOWN,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.a-Adlington.pdf,4946
1048,2008.04.19.R,Reported 19-Apr-2008,2008,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Free-diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.19.R-Avenier.pdf,4945
1049,2008.04.18,18-Apr-08,2008,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,Y,Evening,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.18-Villanueva.pdf,4944
1050,2008.04.17,17-Apr-08,2008,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.17-Weale.pdf,4943
1051,2008.04.15,15-Apr-08,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.15-Phillips.pdf,4942
1052,2008.03.28.a,28-Mar-08,2008,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.a-Holloway.pdf,4941
1053,2008.04.09.R,Reported 09-Apr-2008,2008,Unprovoked,FIJI,,,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.09.R-Meli-Fiji.pdf,4940
1054,2008.04.08.R,Reported 08-Apr-2008,2008,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.R-NSB-2.pdf,4939
1055,2008.04.08,08-Apr-08,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,Y,08h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.a-Edmonds.pdf,4938
1056,2008.04.03,03-Apr-08,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.03-Giangrasso.pdf,4937
1057,2008.03.28.c,28-Mar-08,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.c-Peens.pdf,4936
1058,2008.03.28.b,28-Mar-08,2008,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,N,18h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.b-Lemelin.pdf,4935
1059,2008.03.25,25-Mar-08,2008,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.25-Canganelli.pdf,4934
1060,2008.03.23,23-Mar-08,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.23-NewSmyrnaBeach.pdf,4933
1061,2008.03.21,21-Mar-08,2008,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,N,15h53,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.21-NewSmyrnaBeach.pdf,4932
1062,2008.03.15,15-Mar-08,2008,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.15-BonitaSprings.pdf,4931
1063,2008.03.07,07-Mar-08,2008,Unprovoked,USA,California," Huntington Beach, Orange County",Surfing,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.07-Larkin.pdf,4930
1064,2008.02.24,24-Feb-08,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,Y,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.24-Groh.pdf,4929
1065,2008.02.21.R,Reported 21-Feb-2008,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.21.R-Hauta.pdf,4928
1066,2008.02.15,15-Feb-08,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.15-Bradner.pdf,4927
1067,2008.02.07,07-Feb-08,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.07-Casey.pdf,4926
1068,2008.02.06,06-Feb-08,2008,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.06-Surfer.pdf,4925
1069,2008.01.29,29-Jan-08,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.29-Symington.pdf,4924
1070,2008.01.27,27-Jan-08,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.27-Tinson.pdf,4923
1071,2008.01.19.R,Reported 19-Jan-2008,2008,Invalid,NEW ZEALAND,South Island,Marfells Beach,Wading,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.19.R-O'Neill.pdf,4922
1072,2008.01.14,14-Jan-08,2008,Boat,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.14-inflatable-boat.pdf,4921
1073,2008.01.10,10-Jan-08,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.10-Marsden.pdf,4920
1074,2008.00.00.b,Fall 2008,2008,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.b-Silva.pdf,4919
1075,2008.00.00.a,Summer-2008,2008,Unprovoked,MEXICO,Baja California,Playas de Tijuana,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.a-Edwards.pdf,4918
1076,2007.12.21,21-Dec-07,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.21-Judd.pdf,4917
1077,2007.12.19,19-Dec-07,2007,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,,Scuba diving,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.19-Johanning.pdf,4916
1078,2007.12.18,18-Dec-07,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.18-Morcom.pdf,4915
1079,2007.12.15,15-Dec-07,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.15-Edwards.pdf,4914
1080,2007.12.14,14-Dec-07,2007,Invalid,AUSTRALIA,New South Wales,Bondi ,Swimming,N,20h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.14-Wright.pdf,4913
1081,2007.12.10,10-Dec-07,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,N,"""Just before 11h00""",http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.10-Ramirez.pdf,4912
1082,2007.12.09,09-Dec-07,2007,Unprovoked,NEW ZEALAND,South Island,Kaikoura,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.09-Hislop.pdf,4911
1083,2007.12.07,07-Dec-07,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.07-Malvis.pdf,4910
1084,2007.11.18,18-Nov-07,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.18-WA.pdf,4909
1085,2007.11.08,08-Nov-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,N,14h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.08-Evans.pdf,4908
1086,2007.11.07,07-Nov-07,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.07-Smith.pdf,4907
1087,2007.11.06,06-Nov-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,11h115,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.06-Fox.pdf,4906
1088,2007.11.04,04-Nov-07,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,N,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.04-Nolan.pdf,4905
1089,2007.11.03,03-Nov-07,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.03-Mellin.pdf,4904
1090,2007.11.00,Nov-11,2007,Invalid,MEXICO,Baja California,Guadalupe Island,Shark diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.00-cage.pdf,4903
1091,2007.10.29,29-Oct-07,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.29-Finley.pdf,4902
1092,2007.10.15,15-Oct-07,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.15-Whitehurst.pdf,4901
1093,2007.10.13,13-Oct-07,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.13-Wood.pdf,4900
1094,2007.10.07,07-Oct-07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,N,20h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.07-Bendall.pdf,4899
1095,2007.10.06,06-Oct-07,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,N,08h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.06-EH.pdf,4898
1096,2007.09.30.c,30-Sep-07,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.c-Sinagra.pdf,4897
1097,2007.09.30.b,30-Sep-07,2007,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",Y,14h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.b-Mia.pdf,4896
1098,2007.09.30.a,30-Sep-07,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,Y,Early morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.a-Belliard.pdf,4895
1099,2007.09.28,28-Sep-07,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.28-Gano.pdf,4894
1100,2007.09.27.b,27-Sep-07,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,N,08h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.b-Snyder.pdf,4893
1101,2007.09.27.a,27-Sep-07,2007,Unprovoked,EGYPT,Red Sea,Daedalus Reef ,Swimming,N,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.a-Aleksandrova.pdf,4892
1102,2007.09.22.b,22-Sep-07,2007,Invalid,USA,Florida,Jupiter Inlet,Scuba diving,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.b-Cuomo.pdf,4891
1103,2007.09.22.a,22-Sep-07,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.a-HuguenotPark.pdf,4890
1104,2007.09.20,20-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,18h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.20-Robertson.pdf,4889
1105,2007.09.17,17-Sep-07,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,N,Dusk,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.17-Corey.pdf,4888
1106,2007.09.16.b,16-Sep-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,N,11h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.b-Calogero.pdf,4887
1107,2007.09.16.a,16-Sep-07,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,N,Early morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.a-Riley.pdf,4886
1108,2007.09.13,13-Sep-07,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.13-Chapman.pdf,4885
1109,2007.09.08,08-Sep-07,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,N,11h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.08-Griffin.pdf,4884
1110,2007.09.05,05-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,N,13h42,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.05-Wilson.pdf,4883
1111,2007.09.04,04-Sep-07,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.04-Corr.pdf,4882
1112,2007.09.03.b,03-Sep-07,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.b-Daytona.pdf,4881
1113,2007.09.03.a,03-Sep-07,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,N,09h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.a-Iaciofano.pdf,4880
1114,2007.08.28.b,28-Aug-07,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.b-Sumait.pdf,4879
1115,2007.08.28.a,28-Aug-07,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,N,10h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.a-Endris.pdf,4878
1116,2007.08.26,26-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.26-Coursey.pdf,4877
1117,2007.08.25,25-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.25-Smith.pdf,4876
1118,2007.08.22,22-Aug-07,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.22-Pennington.pdf,4875
1119,2007.08.20,20-Aug-07,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,N,19h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.20-DelawareFisherman.pdf,4874
1120,2007.08.19.c,19-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,N,20h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.c-Olstad.pdf,4873
1121,2007.08.19.b,19-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,12h39,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.b-NewSmyrnaBeach.pdf,4872
1122,2007.08.19.a.,19-Aug-07,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.a-boy.pdf,4871
1123,2007.08.15,15-Aug-07,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.15-Lynch.pdf,4870
1124,2007.08.12,12-Aug-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,N,17h35,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.12-girl-NewSmyrnaBeach.pdf,4869
1125,2007.08.11,11-Aug-07,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.11-Barton.pdf,4868
1126,2007.08.09.b,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,N,16h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.b-NoahGreen.pdf,4867
1127,2007.08.09.a,09-Aug-07,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.a-ChaseCrawford.pdf,4866
1128,2007.08.07,07-Aug-07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.07-Silverman.pdf,4865
1129,2007.07.29,29-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.29-JeffreyClark.pdf,4864
1130,2007.07.28,28-Jul-07,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,N,23h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.28-Springer.pdf,4863
1131,2007.07.22,22-Jul-07,2007,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.22-Calandra.pdf,4862
1132,2007.07.21,21-Jul-07,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,N,10h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.21-DanPrather.pdf,4861
1133,2007.07.19.b,19-Jul-2007.b,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, O’ahu",Snorkeling,N,15h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.b-Miller.pdf,4860
1134,2007.07.19.a,19-Jul-2007.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.a-Chapman.pdf,4859
1135,2007.07.18.b,18-Jul-07,2007,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.b-MattBaker.pdf,4858
1136,2007.07.18.a,18-Jul-07,2007,Provoked,NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.a-Ingelbretsen.pdf,4857
1137,2007.07.17.b,17-Jul-07,2007,Invalid,USA,California,"Faria Beach, Ventura County",Swimming,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.b-SusanLevy.pdf,4856
1138,2007.07.17.a,17-Jul-07,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.a-NC.pdf,4855
1139,2007.07.10,10-Jul-07,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.10-Regan.pdf,4854
1140,2007.07.05,05-Jul-07,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.05-Cecil.pdf,4853
1141,2007.07.04,04-Jul-07,2007,Unprovoked,REUNION,,Boucan Canot,Body boarding,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.04-Bouju.pdf,4852
1142,2007.07.00,Jul-07,2007,Invalid,SENEGAL,,,Murder,UNKNOWN,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.00-Takyi.pdf,4851
1143,2007.06.30.b,30-Jun-07,2007,Provoked,USA,Florida,Marques Island,Removing hook from shark,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.b-Gruber.pdf,4850
1144,2007.06.30.a,30-Jun-07,2007,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",Swimming,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.a-Zinner.pdf,4849
1145,2007.06.25,25-Jun-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.25-JustinLewis.pdf,4848
1146,2007.06.24,24-Jun-07,2007,Unprovoked,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,N,07h05,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.24-Yamada.pdf,4847
1147,2007.06.17,17-Jun-07,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.17-CaseySchmidt.pdf,4846
1148,2007.06.12,12-Jun-07,2007,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.12-Schaefer.pdf,4845
1149,2007.06.05,05-Jun-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,N,Sunset,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.05-JackMoir.pdf,4844
1150,2007.05.26,26-May-07,2007,Unprovoked,USA,South Carolina,Garden City,Wading,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.26-Dornquast.pdf,4843
1151,2007.05.24,24-May-07,2007,Provoked,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.24-Firchau.pdf,4842
1152,2007.05.17.R,Reported 17-May-2007,2007,Provoked,ENGLAND,Kent,Folkestone,Fishing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.17.R-PhilTanner.pdf,4841
1153,2007.05.16,16-May-07,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.16-BeckyCooke.pdf,4840
1154,2007.05.12,12-May-07,2007,Unprovoked,AUSTRALIA,Victoria,Warrnambool,Surfing,N,17h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.12-BlakeFrench.pdf,4839
1155,2007.05.10,10-May-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.10-Manis.pdf,4838
1156,2007.05.09.R,Reported 09-May-2007,2007,Unprovoked,SEYCHELLES,Bird Island,,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.09.R-Seychelles.pdf,4837
1157,2007.05.08,08-May-07,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,Y,12h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.08-KingscliffBeach.pdf,4836
1158,2007.05.07.b,07-May-07,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.b-PellerMarion.pdf,4835
1159,2007.05.07.a,07-May-07,2007,Unprovoked,USA,Florida,Naples,Swimming,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.a-HansPruss.pdf,4834
1160,2007.05.04,04-May-07,2007,Sea Disaster,TURKS & CAICOS,Providenciales,,Sea Disaster,Y,  ,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.04-HaitianRefugees.pdf,4833
1161,2007.05.00,May-07,2007,Provoked,BAHAMAS,Bimini Islands,,Shark tagging,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.00-Garcia.pdf,4832
