,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
760,2010.10.01,01-Oct-10,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.01-Melkbaai-surfer.pdf,5233
761,2010.09.27,27-Sep-10,2010,Unprovoked,USA,Oregon,Winchester Bay,Surfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.27-Lowden-COLLIER.pdf,5232
762,2010.09.24,24-Sep-10,2010,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.24-Kauchak.pdf,5231
763,2010.09.21,21-Sep-10,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.21-Momoza.pdf,5230
764,2010.09.13, 13-Sep-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.13-Davis.pdf,5229
765,2010.09.07,07-Sep-10,2010,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.07-Whitworth.pdf,5228
766,2010.09.06.R,Reported 06-Sep-2010,2010,Unprovoked,TONGA,Ha'api ,,Swimming /  Whale Watching,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.06.R-Jensen.pdf,5227
767,2010.09.04, 04-Sep-2010,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.04-Kerr.pdf,5226
768,2010.09.03.b,03-Sep-10,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.03.b-Coffman.pdf,5225
769,2010.09.03.a,03-Sep-10,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.03.a-Heald.pdf,5224
770,2010.09.02,02-Sep-10,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.02-D'Emden.pdf,5223
771,2010.08.29,29-Aug-10,2010,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.29-Newton.pdf,5222
