Year,Type,Country,Area,Location,Activity,Sex,Fatal
2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,N
2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,N
2014,Unprovoked,USA,Palmyra Atoll,Unknown,Other,F,N
2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Other,F,N
2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Diving,M,N
2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Other,M,N
2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,N
2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Boarding,F,N
2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,N
2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Bathing,F,N
2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,N
