,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
457,2013,Unprovoked,MEXICO,Swimming,F,34,Avulsion injury  to lower right leg,N,13h40
469,2013,Unprovoked,BELIZE,Snorkeling,F,27,Toe injured,N,
496,2012,Unprovoked,NEW ZEALAND,Scuba diving,F,25,"No injury, shark grabbed hood",N,
504,2012,Unprovoked,USA,Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",N,15h56
506,2012,Unprovoked,USA,,F,35,Left calf bitten,N,
510,2012,Unprovoked,NIGERIA,Bathing,F,38,Laceration to right leg,N,
516,2012,Unprovoked,TONGA,Swimming,F,29,Injuries to thighs & buttocks,N,
523,2012,Unprovoked,USA,Boogie boarding,F,8,Puncture wounds to calf and hand,N,18h30
525,2012,Unprovoked,USA,Swimming or boogie boarding,F,56,Puncture wound to left ankle,N,16h30
543,2012,Unprovoked,USA,Swimming,F,43,Lacerations to right ankle and calf,N,17h30
551,2012,Unprovoked,USA,Sitting in the water,F,16,Laceration to left calf,N,09h45
556,2012,Unprovoked,USA,Wading,F,6,Numerous puncture wounds to leg ,N,11h00
558,2012,Unprovoked,USA,Swimming,F,18,Foot & hand bitten,N,Afternoon
565,2012,Unprovoked,USA,Surfing,F,12,Laceration to thigh,N,
567,2012,Unprovoked,USA,Wading,F,33,Foot bitten,N,13h30
573,2012,Unprovoked,USA,Swimming,F,47,Upper left thigh bitten,N,11h30
574,2012,Unprovoked,USA,Paddle boarding,F,15,"No injury, shark bit paddleboard",N,07h20
585,2012,Unprovoked,USA,Surfing,F,15,Bitten on ankle,N,16h00
588,2012,Provoked,AUSTRALIA,"Diving, feeding sharks",F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,11h30
615,2011,Unprovoked,USA,Surfing,F,27,Minor injury to calf ,N,09h00
652,2011,Unprovoked,USA,Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,19h00
658,2011,Unprovoked,USA,Wading,F,20,Lacerations to foot,N,17h00
671,2011,Unprovoked,USA,Boogie Boarding,F,6,Lower right leg & foot bitten,N,17h30
