,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
100,Vertro,1998,software,50,1.0,0.2,0.2,2,40.72616,-74.006023,"{'type': 'Point', 'coordinates': [-74.006023, 40.72616]}",33,1519,1.9090909090909092,13.1,0.09090909090909083
101,alaTest,2005,web,50,,0.0,0.0,2,40.727425,-74.0057125,"{'type': 'Point', 'coordinates': [-74.0057125, 40.727425]}",33,1519,1.9090909090909092,13.1,0.09090909090909083
102,LockerDome,2008,social,27,8.0,16.2,2.0,2,40.7272544,-74.0057152,"{'type': 'Point', 'coordinates': [-74.0057152, 40.7272544]}",33,1519,1.9090909090909092,13.1,0.09090909090909083
103,LockerDome,2008,social,27,8.0,16.2,2.0,2,40.7272544,-74.0057152,"{'type': 'Point', 'coordinates': [-74.0057152, 40.7272544]}",33,1519,1.9090909090909092,13.1,0.09090909090909083
104,Garlik,2005,software,12,4.0,24.7,6.2,2,40.7615818,-73.970624,"{'type': 'Point', 'coordinates': [-73.970624, 40.7615818]}",31,6323,1.8387096774193548,11.8,0.16129032258064524
105,Cellfish,2004,web,220,2.0,60.0,30.0,2,40.761855,-73.983754,"{'type': 'Point', 'coordinates': [-73.983754, 40.761855]}",35,6419,1.8571428571428572,11.8,0.1428571428571428
106,Fluther,2007,web,3,2.0,1.2,0.6,2,37.758062,-122.418642,"{'type': 'Point', 'coordinates': [-122.418642, 37.758062]}",22,2278,2.0,11.2,0.0
107,Pageflakes,2006,web,20,1.0,1.3,1.3,2,37.758113,-122.414689,"{'type': 'Point', 'coordinates': [-122.414689, 37.758113]}",23,2361,2.0,11.2,0.0
108,Fluther,2007,web,3,2.0,1.2,0.6,2,37.758062,-122.418642,"{'type': 'Point', 'coordinates': [-122.418642, 37.758062]}",22,2278,2.0,11.2,0.0
109,Boonty,2001,games_video,150,1.0,10.0,10.0,2,40.717248,-74.002662,"{'type': 'Point', 'coordinates': [-74.002662, 40.717248]}",23,1110,1.9130434782608696,5.6,0.08695652173913038
110,ReverbNation,2006,software,85,2.0,5.0,2.5,2,40.718888,-74.001169,"{'type': 'Point', 'coordinates': [-74.001169, 40.718888]}",24,1127,1.9166666666666667,5.6,0.08333333333333326
